Time,Robot,Move
0,robot1,start
0,robot1,C1
0,robot1,stop
4,robot1,move_cte
42,robot1,C4
42,robot1,stop
46,robot1,move_cte
84,robot1,C9
84,robot1,stop
88,robot1,move_cte
126,robot1,C8
126,robot1,stop
130,robot1,move_cte
168,robot1,C14
168,robot1,stop
172,robot1,move_cte
210,robot1,C15
210,robot1,stop
214,robot1,move_cte
252,robot1,C16
252,robot1,stop
256,robot1,move_cte
294,robot1,C17
294,robot1,stop
298,robot1,move_cte
336,robot1,C22
336,robot1,stop
340,robot1,move_cte
378,robot1,C21
378,robot1,stop
382,robot1,move_cte
420,robot1,C20
424,robot1,stop
428,robot1,move_cte
466,robot1,C23
466,robot1,stop
466,robot1,end
0,robot2,start
0,robot2,C1
0,robot2,stop
4,robot2,move_cte
42,robot2,C4
42,robot2,stop
46,robot2,move_cte
84,robot2,C9
84,robot2,stop
88,robot2,move_cte
126,robot2,C8
126,robot2,stop
130,robot2,move_cte
168,robot2,C14
168,robot2,stop
172,robot2,move_cte
210,robot2,C15
210,robot2,stop
214,robot2,move_cte
252,robot2,C16
252,robot2,stop
256,robot2,move_cte
294,robot2,C17
294,robot2,stop
298,robot2,move_cte
336,robot2,C22
336,robot2,stop
340,robot2,move_cte
378,robot2,C21
378,robot2,stop
382,robot2,move_cte
420,robot2,C20
424,robot2,stop
428,robot2,move_cte
466,robot2,C23
466,robot2,stop
466,robot2,end
0,robot3,start
0,robot3,C1
0,robot3,stop
4,robot3,move_cte
42,robot3,C4
42,robot3,stop
46,robot3,move_cte
84,robot3,C9
84,robot3,stop
88,robot3,move_cte
126,robot3,C8
126,robot3,stop
130,robot3,move_cte
168,robot3,C14
168,robot3,stop
172,robot3,move_cte
210,robot3,C15
210,robot3,stop
214,robot3,move_cte
252,robot3,C16
252,robot3,stop
256,robot3,move_cte
294,robot3,C17
294,robot3,stop
298,robot3,move_cte
336,robot3,C22
336,robot3,stop
340,robot3,move_cte
378,robot3,C21
378,robot3,stop
382,robot3,move_cte
420,robot3,C20
424,robot3,stop
428,robot3,move_cte
466,robot3,C23
466,robot3,stop
466,robot3,end
0,robot4,start
0,robot4,C1
0,robot4,stop
4,robot4,move_cte
42,robot4,C4
42,robot4,stop
46,robot4,move_cte
84,robot4,C9
84,robot4,stop
88,robot4,move_cte
126,robot4,C8
126,robot4,stop
130,robot4,move_cte
168,robot4,C14
168,robot4,stop
172,robot4,move_cte
210,robot4,C15
210,robot4,stop
214,robot4,move_cte
252,robot4,C16
252,robot4,stop
256,robot4,move_cte
294,robot4,C17
294,robot4,stop
298,robot4,move_cte
336,robot4,C22
336,robot4,stop
340,robot4,move_cte
378,robot4,C21
378,robot4,stop
382,robot4,move_cte
420,robot4,C20
424,robot4,stop
428,robot4,move_cte
466,robot4,C23
466,robot4,stop
466,robot4,end
0,robot5,start
0,robot5,C1
0,robot5,stop
4,robot5,move_cte
42,robot5,C4
42,robot5,stop
